trade_date,underlying,contract_month,underlying_price,gamma_regime,call_wall,put_wall,price_wall,gex_flip,call_wall_distance,put_wall_distance,price_wall_distance,gamma_flip_distance,nearest_wall,nearest_wall_value,nearest_wall_distance,spot_position_band,upside_room_to_call_wall,downside_room_to_put_wall,spot_position_comment
2026-08-26,中证500ETF嘉实,8月,3.162,Positive Gamma,3.2,3.2,3.2,3.1,0.012017710309930596,0.012017710309930596,0.012017710309930596,-0.019607843137254832,call_wall,3.2,0.012017710309930596,between_gex_flip_and_call_wall,0.012017710309930596,0.012017710309930596,现价距离最近关键位 call_wall 约 1.20%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,中证500ETF嘉实,9月,3.162,Positive Gamma,3.3,3.2,3.2,3.3,0.0436432637571158,0.012017710309930596,0.012017710309930596,0.0436432637571158,put_wall,3.2,0.012017710309930596,below_all_key_levels_next_price_wall,0.0436432637571158,0.012017710309930596,现价距离最近关键位 put_wall 约 1.20%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,创业板ETF易方达,12月,3.432,Positive Gamma,4.0,2.95,3.5,4.2,0.16550116550116556,-0.14044289044289038,0.019813519813519864,0.22377622377622375,price_wall,3.5,0.019813519813519864,between_put_wall_and_price_wall,0.16550116550116556,-0.14044289044289038,现价距离最近关键位 price_wall 约 1.98%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,创业板ETF易方达,3月,3.432,Positive Gamma,4.0,2.95,3.6,4.0,0.16550116550116556,-0.14044289044289038,0.04895104895104896,0.16550116550116556,price_wall,3.6,0.04895104895104896,between_put_wall_and_price_wall,0.16550116550116556,-0.14044289044289038,现价距离最近关键位 price_wall 约 4.90%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,创业板ETF易方达,8月,3.432,Negative Gamma,3.4,3.4,3.4,,-0.009324009324009341,-0.009324009324009341,-0.009324009324009341,,call_wall,3.4,-0.009324009324009341,above_all_key_levels_last_put_wall,-0.009324009324009341,-0.009324009324009341,现价距离最近关键位 call_wall 约 -0.93%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,创业板ETF易方达,9月,3.432,Positive Gamma,3.5,3.4,3.5,3.9,0.019813519813519864,-0.009324009324009341,0.019813519813519864,0.13636363636363646,put_wall,3.4,-0.009324009324009341,between_put_wall_and_call_wall,0.019813519813519864,-0.009324009324009341,现价距离最近关键位 put_wall 约 -0.93%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF华泰柏瑞,12月,4.652,Positive Gamma,5.0,4.3,4.8,4.8,0.07480653482373167,-0.07566638005159076,0.03181427343078247,0.03181427343078247,price_wall,4.8,0.03181427343078247,between_put_wall_and_gex_flip,0.07480653482373167,-0.07566638005159076,现价距离最近关键位 price_wall 约 3.18%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF华泰柏瑞,3月,4.652,Positive Gamma,4.7,4.2,4.7,5.0,0.010318142734307756,-0.09716251074806537,0.010318142734307756,0.07480653482373167,call_wall,4.7,0.010318142734307756,between_put_wall_and_call_wall,0.010318142734307756,-0.09716251074806537,现价距离最近关键位 call_wall 约 1.03%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF华泰柏瑞,8月,4.652,Positive Gamma,4.7,4.6,4.7,4.7,0.010318142734307756,-0.011177987962166958,0.010318142734307756,0.010318142734307756,call_wall,4.7,0.010318142734307756,between_put_wall_and_call_wall,0.010318142734307756,-0.011177987962166958,现价距离最近关键位 call_wall 约 1.03%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF华泰柏瑞,9月,4.652,Positive Gamma,4.7,4.6,4.7,4.8,0.010318142734307756,-0.011177987962166958,0.010318142734307756,0.03181427343078247,call_wall,4.7,0.010318142734307756,between_put_wall_and_call_wall,0.010318142734307756,-0.011177987962166958,现价距离最近关键位 call_wall 约 1.03%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF嘉实,12月,4.858,Positive Gamma,5.25,4.5,5.0,4.8,0.08069164265129691,-0.0736928777274598,0.02923013585837797,-0.01193906957595714,gex_flip,4.8,-0.01193906957595714,between_gex_flip_and_price_wall,0.08069164265129691,-0.0736928777274598,现价距离最近关键位 gex_flip 约 -1.19%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF嘉实,3月,4.858,Positive Gamma,4.9,4.4,4.9,4.9,0.008645533141210526,-0.09427748044462725,0.008645533141210526,0.008645533141210526,call_wall,4.9,0.008645533141210526,between_put_wall_and_call_wall,0.008645533141210526,-0.09427748044462725,现价距离最近关键位 call_wall 约 0.86%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF嘉实,8月,4.858,Positive Gamma,4.9,4.9,4.9,4.6,0.008645533141210526,0.008645533141210526,0.008645533141210526,-0.05310827501029236,call_wall,4.9,0.008645533141210526,between_gex_flip_and_call_wall,0.008645533141210526,0.008645533141210526,现价距离最近关键位 call_wall 约 0.86%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,沪深300ETF嘉实,9月,4.858,Positive Gamma,4.9,4.7,5.0,4.9,0.008645533141210526,-0.032523672293124584,0.02923013585837797,0.008645533141210526,call_wall,4.9,0.008645533141210526,between_put_wall_and_call_wall,0.008645533141210526,-0.032523672293124584,现价距离最近关键位 call_wall 约 0.86%，该关键位在现价上方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,深证100ETF易方达,12月,3.603,Positive Gamma,3.7,3.4,3.7,3.7,0.02692200943658052,-0.05634193727449355,0.02692200943658052,0.02692200943658052,call_wall,3.7,0.02692200943658052,between_put_wall_and_call_wall,0.02692200943658052,-0.05634193727449355,现价距离最近关键位 call_wall 约 2.69%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,深证100ETF易方达,3月,3.603,Positive Gamma,4.2,3.3,3.6,4.2,0.16569525395503737,-0.08409658617818494,-0.0008326394671107629,0.16569525395503737,price_wall,3.6,-0.0008326394671107629,between_price_wall_and_call_wall,0.16569525395503737,-0.08409658617818494,现价距离最近关键位 price_wall 约 -0.08%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,深证100ETF易方达,8月,3.603,Negative Gamma,3.6,3.6,3.6,,-0.0008326394671107629,-0.0008326394671107629,-0.0008326394671107629,,call_wall,3.6,-0.0008326394671107629,above_all_key_levels_last_put_wall,-0.0008326394671107629,-0.0008326394671107629,现价距离最近关键位 call_wall 约 -0.08%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,深证100ETF易方达,9月,3.603,Positive Gamma,3.7,3.4,3.6,3.8,0.02692200943658052,-0.05634193727449355,-0.0008326394671107629,0.0546766583402718,price_wall,3.6,-0.0008326394671107629,between_price_wall_and_call_wall,0.02692200943658052,-0.05634193727449355,现价距离最近关键位 price_wall 约 -0.08%，该关键位在现价下方。 距离小于 1%，存在墙位吸附或短线争夺的可能。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF华夏,12月,1.721,Positive Gamma,2.0,1.3,1.8,2.2,0.16211504938988952,-0.24462521789657177,0.04590354445090061,0.27832655432887865,price_wall,1.8,0.04590354445090061,between_put_wall_and_price_wall,0.16211504938988952,-0.24462521789657177,现价距离最近关键位 price_wall 约 4.59%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF华夏,3月,1.721,Positive Gamma,2.15,1.45,1.75,2.05,0.24927367809413115,-0.15746658919233014,0.01685066821615333,0.19116792562463658,price_wall,1.75,0.01685066821615333,between_put_wall_and_price_wall,0.24927367809413115,-0.15746658919233014,现价距离最近关键位 price_wall 约 1.69%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF华夏,8月,1.721,Negative Gamma,1.75,1.7,1.7,,0.01685066821615333,-0.012202208018593952,-0.012202208018593952,,put_wall,1.7,-0.012202208018593952,between_put_wall_and_call_wall,0.01685066821615333,-0.012202208018593952,现价距离最近关键位 put_wall 约 -1.22%，该关键位在现价下方。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,科创50ETF华夏,9月,1.721,Positive Gamma,1.75,1.7,1.7,1.95,0.01685066821615333,-0.012202208018593952,-0.012202208018593952,0.13306217315514224,put_wall,1.7,-0.012202208018593952,between_put_wall_and_call_wall,0.01685066821615333,-0.012202208018593952,现价距离最近关键位 put_wall 约 -1.22%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF易方达,12月,1.671,Positive Gamma,2.0,1.25,1.6,2.05,0.1968880909634949,-0.2519449431478157,-0.04248952722920407,0.22681029323758217,price_wall,1.6,-0.04248952722920407,between_price_wall_and_call_wall,0.1968880909634949,-0.2519449431478157,现价距离最近关键位 price_wall 约 -4.25%，该关键位在现价下方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF易方达,3月,1.671,Positive Gamma,1.9,1.5,1.75,1.9,0.13704368641532017,-0.10233393177737882,0.047277079593057936,0.13704368641532017,price_wall,1.75,0.047277079593057936,between_put_wall_and_price_wall,0.13704368641532017,-0.10233393177737882,现价距离最近关键位 price_wall 约 4.73%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
2026-08-26,科创50ETF易方达,8月,1.671,Negative Gamma,1.7,1.65,1.7,,0.017354877318970674,-0.01256732495511681,0.017354877318970674,,put_wall,1.65,-0.01256732495511681,between_put_wall_and_call_wall,0.017354877318970674,-0.01256732495511681,现价距离最近关键位 put_wall 约 -1.26%，该关键位在现价下方。 当前为 Negative Gamma，若脱离关键位，波动放大风险更高。
2026-08-26,科创50ETF易方达,9月,1.671,Positive Gamma,1.7,1.7,1.7,1.75,0.017354877318970674,0.017354877318970674,0.017354877318970674,0.047277079593057936,call_wall,1.7,0.017354877318970674,below_all_key_levels_next_call_wall,0.017354877318970674,0.017354877318970674,现价距离最近关键位 call_wall 约 1.74%，该关键位在现价上方。 当前为 Positive Gamma，结构上更倾向于围绕关键位震荡。
